4,EMCS,บจ.,ส.สกุลช่างกรุ๊ป,427 ถ.ประชาธิปก แขวงสมเด็จเจ้าพระยา,เขตคลองสาน,กทม.,"02-861-5821 , 02-437-4210 , 081-488-9803",
5,EMCS,อู่,อุดมมิตรยนต์,1153/1 ซ.อิสรภาพ 12 แขวงสมเด็จเจ้าพระยา,เขตคลองสาน,กทม.,"02-437-5208,02-438-6312",
6,EMCS,บจ.,อู่รณชัย,18 ซ.นิมิตรใหม่ 10 แขวงทรายกองดิน,เขตคลองสามวา,กทม.,"02-914-6294-5,081-450-7187",
7,EMCS,อู่,เอ็น.ดี.เซอร์วิส,268 ถ.สามวา แขวงบางชัน,เขตคลองสามวา,กทม.,"02-906-2474 , 081-835-8534",
8,EMCS,อู่,บางกอก ออโต้เทรด,40 หมู่ที่ 2 ถ.นิมิตรใหม่ แขวงทรายกองดิน,เขตคลองสามวา,กทม.,02-915-7793-4,
9,EMCS,หจก.,สุวรรณสถิตย์ มอเตอร์,20 ซอยเจริญพัฒนา 23 (รามอินทรา 117) แขวงบางชัน,เขตคลองสามวา,กทม.,"02-918-8244-5,089-133-7457,086-534-2533",
10,EMCS,บจ.,,32/1 หมู่ 1 ซ.นิมิตรใหม่ 16 ถ.นิมิตรใหม่ แขวงทรายกองดิน,เขตคลองสามวา,กทม.,"02-914-6863,081-696-3105,081-918-9897",
11,EMCS,บจ.,เอ็ม พี คาร์ รามอินทรา 107,99 ม.5 ซ.รามอินทรา 107 แขวงคันนายาว,เขตคันนายาว,กทม.,02-540-2399-2400,
12,EMCS,บจ.,อู่ วิจิตรการช่าง,1 ซ.คู้บอน 13 แยก 3 แขวงคันนายาว,เขตคันนายาว,กทม.,"02-510-3626 , 02-943-0108 , 02-509-5301",
13,EMCS,บจ.,เดอะเกรทการาจ,62/5-6 หมู่ 9 ถนนรามอินทรา แขวงคันนายาว,เขตคันนายาว,กทม.,"02-943-0160-3,081-825-0807",
14,EMCS,บจ.,วี.เอ็น.พี.เซอร์วิส,58/284 ซ.รามอินทรา 68 แขวงคันนายาว,เขตคันนายาว,กทม.,"02-918-1132,081-258-7551",
15,EMCS,บจ.,ธัญทานต์ 96,96/220 หมู่ที่ 13 ซ.คู้บอน แขวงคันนายาว,เขตคันนายาว,กทม.,02-943-2355,
16,EMCS,บจ.,ป.รัชดายนต์,,เขตจตุจักร,กทม.,"02-930-5619-22 , 081-920-9910 , 081-624-2300",
17,EMCS,บจ.,ภ.แอนด์ ธงเซอร์วิส,44/38-39 ถ.งามวงศ์วาน แขวงลาดยาว,เขตจตุจักร,กทม.,02-953-1637-40,
18,EMCS,หจก.,อู่ เฮงเซอร์วิส,569/6-7 ซ.พหลโยธิน32 แขวงลาดยาว,เขตจตุจักร,กทม.,"02-579-5987 , 02-579-9279 , 081-822-2518",
19,,อู่,เล็กบริการ,7 พหลโยธิน 28 ถ.พหลโยธิน ซ.เฉลิมสุข แขวงลาดยาว,เขตจตุจักร,กทม.,02-513-2928,
20,EMCS,อู่,คุงเซอร์วิส,1426/4 ซ.พหลโยธิน 28 ถ.รัชดาภิเษก แขวงจันทรเกษม,เขตจตุจักร,กทม.,02-939-0363,
21,EMCS,อู่,ศรีสมบูรณ์ การาจ,84/1 ซ.พหลโยธิน 34 ถ.พหลโยธิน แขวงลาดยาว,เขตจตุจักร,กทม.,02-941-9626-8
22,EMCS,อู่,พงษ์เพชรการช่าง,36/2 ซ.แสงเสถียร ถนนงามวงศ์วาน แขวงลาดยาว,เขตจตุจักร,กทม.,02-953-0613-5,
23,EMCS,หจก.,อู่สามชัยยนต์,,เขตจตุจักร,กทม.,"0-2277-5382,02-2772150"
24,EMCS,อู่,พี.ซี.การาจ,31/9 ถนนเทศบาลสงเคราะห์ แขวงลาดยาว,เขตจตุจักร,กทม.,"02-954-4246,081-802-7736"
25,EMCS,บจ.,พระราม 2 ยนต์การเซอร์วิส,60/196 หมู่ 7 ถนนพุทธบูชา แขวงบางมด,เขตจอมทอง,กทม.,"02-427-4587 , 02-427-3127"
26,EMCS,บจ.,ส.คงกิตติ์ (1998),1/14 ถ.วุฒากาศ แขวงบางค้อ,เขตจอมทอง,กทม.,"02-476-1170 ,"
28,EMCS,อู่,เจ.เจ.ออโต้เซอร์วิส,65/7 ม.10 ซ.เอกชัย 9 แขวงบางขุนเทียน,เขตจอมทอง,กทม.,"02-415-4625 , 086-301-4580"
29,EMCS,อู่,ตงเจริญยนต์ 2,54/32 ม.10 ซ.เอกชัย10/1 แขวงบางขุนเทียน,เขตจอมทอง,กทม.,02-893-7606-7,
31,EMCS,บจ.,ต.ชัยกังวาน การาจ,313 หมู่ 3 ซ.สุขสวัสดิ์ 14/5 แขวงจอมทอง,เขตจอมทอง,กทม.,"02-477-1118, 02-477-1105"
32,EMCS,อู่,ทวีการช่าง,67/23 หมู่ 6 ซ.จอมทอง 19 แขวงจอมทอง,เขตจอมทอง,กทม.,"02-875-2818,086-762-5171"
33,EMCS,บจ.,อาทิตย์การาจ,7 ซ.พระรามที่ 2 ซอย 28/1 ถนนพระรามที่ 2 แขวงบางมด,เขตจอมทอง,กทม.,02-452-0613-4
34,EMCS,บจ.,จูยิ่งเจริญ(2010),9/1 ซ.โกสุมรวมใจ 35 แขวงดอนเมือง,เขตดอนเมือง,กทม.,02-981-0933
35,EMCS,บจ.,หมง 2002,217 ถ.ช่างอากาศอุทิศ แขวงดอนเมือง,เขตดอนเมือง,กทม.,"02-929-5922 ,02-983-5454 , 081-488-3422 , 081-424-0055",
38,EMCS,หจก.,อู่สมพรการช่าง,34 ซ.สุวรรณี 2/7 ถ.สรงประภา แขวงสีกัน,เขตดอนเมือง,กทม.,02-566-3391
39,EMCS,บจ.,ธนิธารณ์ บอดี้,2 ซ.พหลโยธิน 79 แขวงสนามบิน,เขตดอนเมือง,กทม.,"02-531-7254,532-2422,082-790-1405"
40,EMCS,บจ.,โอ.พี.ทวีวัฒน์,324/324/1-3 ถ.อโศก-ดินแดง แขวงดินแดง,เขตดินแดง,กทม.,02-641-9121-5
41,EMCS,บจ.,กรุงเทพยนตการ เซอร์วิส,5/1 ซ.สมบูรณ์พัฒนา 1 ถ.ประชาสงเคราะห์ แขวงดินแดง,เขตดินแดง,กทม.,02-692-6073-4
42,EMCS,บจ.,ชลสิทธิ์ คาร์ส เวอร์ค,4795/1 ถนนประชาสงเคราะห์ แขวงดินแดง,เขตดินแดง,กทม.,"02-692-2230,081-922-8131"
