"1","ลาดพร้าว ซ.10 ","บาวาเรียมอเตอร์","212/35 ซ.ลาดพร้าว 10 ถ.ลาดพร้าว แขวงจอมพล เขตจตุจักร กรุงเทพฯ 10900","02-512-4046, 02-938-4673","02-938-6488","bavariamotor@yahoo.com"
"2","ลาดพร้าว ซ.53 (โชคชัย4)  ","คาร์อินคัลเลอร์","4/340 ม.6 ซ.ลาดพร้าว 53(โชคชัย4) ซ.30(โชคดี) ถ.ลาดพร้าว แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพฯ 10230","0-2931-5036-7  ","0-2931-5038","carincolor@hotmail.com "
"3","ลาดพร้าว ซ.107  บางกะปิ","ธีระยนต์ การาจ","242/1 ซ.ลาดพร้าว 107 ถ.ลาดพร้าว แขวงคลองจั่น เขตบางกะปิ กรุงเทพฯ 10240","0-2731-0931, 0-2374-4417","0-2731-0932","theerayont@gmail.com"
"4","ลาดพร้าว ซ.107  บางกะปิ","ถาวรมงคล","139 ม.2 ซ.ลาดพร้าว 107 ถ.ลาดพร้าว แขวงคลองจั่น เขตบางกะปิ กรุงเทพฯ 10240","0-2377-4177-8","0-2731-1421","thawornmongkol_107@yahoo.com"
"5","ลาดพร้าว โลตัสเลียบทางด่วนรามอินทรา","อินทราการาจ","93/2 ซ.โยธินพัฒนา(เลียบทางด่วนรามอินทรา-อาจณรงค์) แขวงคลองจั่น เขตบางกะปิ กรุงเทพฯ 10240","0-2932-1992-3","0-2932-1993","intra_1992@hotmail.com"
"7","ห้วยขวาง รัชดาภิเษก ถนนประชาราษฎร์บำเพ็ญ","ทวีพงษ์เซอร์วิส","82 ซ.สุนทรศิริ ถ.ประชาราษฎร์บำเพ็ญ เขตห้วยขวาง กรุงเทพฯ 10310","0-2277-1519, 0-2691-0188,0-2691-0190","0-2691-0189","taweepong1993@yahoo.com"
"9","จตุจักร","เค.รุ่งเรืองบริการ","6/9-10 ถ.ย่านพหลโยธิน แขวงสามเสนใน เขตพญาไท กรุงเทพฯ 10400","0-2618-6622-4 ","0-2271-1136-7","k_krr@hotmail.com"
"10","เกษตรนวมินทร์ นวมินทร์ รามอินทรา","เค.เอส. ออโต้  ","18/17 ม. 7 ซ.หมู่บ้านสราญรมย์ ถ.เกษตร-นวมินทร์ แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพฯ 10230","0-2519-3768, 0-2509-1744,0-2946-6716,0-2510-3033","0-2519-3034","k.s.auto@hotmail.com"
"11","ลาดปลาเค้า รามอินทรา กม.2 เกษตรนวมินทร์","เล็กเชาว์การช่าง","27/36 ม.5 ซ.ลาดปลาเค้า 74 รามอินทรา กม.2 แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพฯ 10220","0-2522-2201, 0-2522-3034","0-2522-2603","laxchao_garage@hotmail.com"
"12","นวลจันทร์ เกษตรนวมินทร์ เลียบด่วนรามอินทราฯ","แสงทองการช่าง","9/12 ม.11 ถ.นวลจันทร์ ซ.นวลจันทร์ 28 แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพฯ 10230","0-2509-5688-9, 0-2946-3194","0-2509-5665","saengthong_garage@hotmail.com"
"13","รามคำแหง มีนบุรี ร่มเกล้า","มิลเลี่ยนคัลเลอร์ส ","14/5 ม.11 ซ.รามคำแหง189(โรงน้ำแข็ง) ถ.รามคำแหง แขวงมีนบุรี เขตมีนบุรี กรุงเทพฯ 10510","0-2916-8008, 0-2916-6391-2","0-2916-6395","bangkok3333@hotmail.com"
"14","รามคำแหง หัวหมาก บางกะปิ มีนบุรี ร่มเกล้า","เจริญพงษ์ ออโต้คาร์","1 ซ.รามคำแหง 79/2 แขวงหัวหมาก เขตบางกะปิ กรุงเทพฯ 10240","0-2319-3175, 02314-1484, 0-2732-3054","0-2374-5955","jp_autocar@hotmail.com"
"15","รามคำแหง ซ.4","พงษ์ชัย เซอร์วิส","27 ถ.รามคำแหง แขวงสวนหลวง เขตสวนหลวง กรุงเทพฯ 10250","0-2318-6310, 0-2719-9238","0-2318-6310","pongchai_service@hotmail.com"
"16","พระโขนง กล้วยน้ำไท คลองเตย พระราม 4","ฉัตรเมือง","4069 ถ.พระราม 4 แขวงพระโขนง เขตคลองเตย กรุงเทพฯ 10110","0-2712-2212-5, 0-2391-1744, 0-2392-4447","0-2390-2339","chatmuang_garage@hotmail.com"
"17","พระโขนง คลองเตย ถนนพระราม 4","ชัยกิจเซอร์วิส","3874/2 ถ.พระราม 4 แขวงพระโขนง เขตคลองเตย กรุงเทพฯ 10110","0-2249-9414-5, 0-2249-5236, 0-2671-6168-70","0-2249-4837","chaikitservice@yahoo.com"
"18","พระโขนง สุขุมวิท  ซ.101 บางจาก","ไพชยนต์การาจ  ","459 ซ.ปุณณวิถี 15 ถ.สุขุมวิท 101 แขวงบางจาก เขตพระโขนง กรุงเทพฯ 10260","0-2311-4864 , 0-2741-7643-4","0-2311-7513","garage_pcy@yahoo.com"
"19","อ่อนนุช 17 แยก 7 ถ.สุขุมวิท 77 สวนหลวง","ตั้งตรงจิตออโตคาร์","27 ซ.อ่อนนุช 17 แยก 7 แขวงสวนหลวง เขตสวนหลวง กรุงเทพฯ 10250","0-2717-6495, 0-2717-6499","0-2717-6495","info@tangtongjit.com"
"20","อ่อนนุช 44 ถนนสุขุมวิท 77 สวนหลวง","นพเก้าการาจ","211 ซ.อ่อนนุช 44 ถ.สุขุมวิท 77 แขวงสวนหลวง เขตสวนหลวง กรุงทพฯ 10250","0-2742-2950-1","0-2742-2952","nopakhaw@asianet.co.th"
"21","อ่อนนุช 46 ถนนสุขุมวิท 77 สวนหลวง","เจริญยนต์ ออโต้สปอร์ต","243 ซ.อ่อนนุช 46 ถ.สุขุมวิท 77 แขวงสวนหลวง เขตสวนหลวง กรุงเทพฯ 10250","0-2322-5111, 0-2321-8301","0-2321-3419","charoenyont@yahoo.com"
"22","บางนา ถ.บางนา ตราด กม.2","ฉินการช่าง ","4/178 ซ.18(ทองอยู่ใต้)  ถ.บางนา-ตราด กม.2 แขวงบางนา เขตพระโขนง กรุงเทพฯ 10260","0-2399-3258, 0-2398-1294,0-2746-7992","0-2398-6617","aoochin@hotmail.com"
"23","พระประแดง สมุทรปราการ","เค.ที. ออโต้ เซอร์วิส","11 ม.1 ถ.รางรถไฟเก่า หลังอิมพิเรียลเวิลล์ ต.สำโรง อ.พระประแดง จ.สมุทรปราการ 10130","0-2748-3754-6,0-2745-1819-20","0-2748-3757","bobo_bebe55@hotmail.com"
"24","ศรีนครินทร์ สำโรงเหนือ สมุทรปราการ","อารีการช่าง (ศรีนครินทร์)","1315 ม.16 ซ.ศรีด่าน 3 ถ.ศรีนครินทร์ ต.สำโรงเหนือ อ.เมือง จ.สมุทรปราการ 10270  ","0-2758-5801, 0-2758-7458-60","0-2758-7350","aree_srn@hotmail.com"
"25","เทพารักษ์ สมุทรปราการ","รัตนะออโต้บอดี้ (2009)","2316 ม.6 ถ.เทพารักษ์ กม.5 ซ.สินทวี ต.เทพารักษ์ อ.เมือง จ.สมุทรปราการ 10270","0-2754-6501","0-2754-6502","rattana_cne@hotmail.com"
"26","ศรีนครินทร์ สำโรงเหนือ สมุทรปราการ","พี.เอ.เอ็ม บอดี้เซอร์วิส","1457 ถ.ศรีนครินทร์ ต.สำโรงเหนือ อ.เมือง จ.สมุทรปราการ 10270","0-2749-9386-8","0-2749-9385","pambodyservice@gmail.com"
"27","ศรีนครินทร์ บางเมืองใหม่ สมุทรปราการ","เอ.พี.เซอร์วิส (1994)","43/19 ม.6 ซ.ศรีนครินทร์เซ็นเตอร์ ถ.ศรีนครินทร์ ต.บางเมืองใหม่ อ.เมือง จ.สมุทรปราการ 10270","0-2759-9474, 0-2759-9959","0-2385-6396","pad_ni@hotmail.com"
"28","เทพารักษ์ บางพลี บางบ่อ สมุทรปราการ","เอส.อาร์.ออโต้เซอร์วิส","89/25 ม.1 ถ.เทพารักษ์ ต.บางเพรียง อ.บางบ่อ จ.สมุทรปราการ 10560","0-2338-1551-2, 0-2338-1920-1","0-2708-4043, 0-2708-3988","kanyarat_mam@hotmail.com"
"29","คลองด่าน บางบ่อ สมุทรปราการ","รุ่งเจริญคาร์คลีนิค","400 ม.13 ถ.สุขุมวิท (สายเก่า) ต.คลองด่าน อ.บางบ่อ จ.สมุทรปราการ 10550","0-2707-5530, 0-2707-3979","0-2707-5531","rungcharoen@hotmail.com"
"","ย่านสาทร-บางคอแหลม-ยานนาวา-พระราม 3-จอมทอง-ภาษีเจริญ-จรัลสนิทวงศ์-เพชรเกษม-พุทธมลฑล-ราษฎร์บูรณะ-สุขสวัสดิ์","","","","",""
"30","สาทร-นางลิ้นจี่-ทุ่งมหาเมฆ-งามดูพลี","ชาญกิจ เซอร์วิส (2004)","46/3 ถ.นางลิ้นจี่  แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพฯ 10120","0-2678-5513-4,0-2678-7714","0-2286-5902","jck_463@hotmail.com"
"31","บางโคล่ - ถ.พระรามที่ 3  ","อ.พิพัฒน์ยนต์","430/1 ถ.พระราม 3 ซ.20 แขวงบางโคล่ เขตบางคอแหลม กรุงเทพฯ 10120","0-2292-0498-9,0-2289-1765","0-2289-3013","pipatyont@yahoo.com"
"32","ยานนาวา - ถ.พระรามที่ 3","ศรีณรงค์เซอร์วิส","33 ถ.ยานนาวา แขวงช่องนนทรี เขตยานนาวา กรุงเทพฯ 10120","02-165-7300-1","02-165-7302","srinarong@gmail.com"
