บริษัท บาเซโลนา มอเตอร์ จำกัด,299 หมู่ที่ 14 ถนนวิภาวดีรังสิต แขวงจอมพล,จตุจักร,02-9387777
บริษัท บาเซโลนา มอเตอร์ จำกัด,548 ถนนเพชรเกษม แขวงบางแคเหนือ,บางแค,02-0805888
บริษัท เพอร์ฟอร์แมนซ์ มอเตอร์ส,292 ถนนจรัญสนิทวงศ์ แขวงบางอ้อ,บางพลัด,02-8800999
บริษัท บาเซโลนา มอเตอร์ จำกัด,402 ถนนเชียงใหม่-ลำปาง ตำบลฟ้าฮ่าม,เมืองเชียงใหม่,053-306472
บริษัท ออโต้เทคนิค (ประเทศไทย),60/145 ถนนนวลจันทร์ แขวงคลองกุ่ม,บึงกุ่ม,02-5103628-9
บริษัท พระนคร ยนตรการ จำกัด,108 หมู่ที่ 2 แขวงลาดยาว,จตุจักร,02-5615000
บริษัท พระนคร ยนตรการ จำกัด,88 ถนนสุขาภิบาล 5 แขวงสายไหม,สายไหม,02-9918888
บริษัท เอ็ม.เค.ออโต้เซ็นเตอร์ จำกัด,45/580 หมู่ที่ 6 ถนนพระราม 2 แขวงแสมดำ,บางขุนเทียน,"02-4170300,02-"
บริษัท ออโต้เทคนิค (ประเทศไทย),1494 ถนนเพชรบุรีตัดใหม่ แขวงมักกะสัน,ราชเทวี,"02-2559300, 02-2559320"
บริษัท มงคลออโต้เซลส์ จำกัด,78/4 หมู่ที่ 4 ถนนรามอินทรา แขวงอนุสาวรีย์,บางเขน,"02-9708576-9, 087-0141629"
บริษัท รุ่งเจริญ คาร์ จำกัด,77/1 หมู่ที่ 1 ตำบลราชาเทวะ,บางพลี,02-3168899
บริษัท รุ่งเจริญ คาร์ จำกัด,123 หมู่ที่ 5 ถนนศรีนครินทร์ ตำบลบางเมือง,เมืองสมุทรปราการ,02-7031000
บริษัท รุ่งเจริญ คาร์ จำกัด,52 หมู่ที่ 1 ตำบลศีรษะจรเข้ใหญ่,บางเสาธง,02-7400799
บริษัท เอ็ม.เค.ออโต้วัน จำกัด,99/99 หมู่ที่ 13 ถนนกาญจนาภิเษก,บางบัวทอง,02-9227077
บริษัท ออโต้เทคนิค (ประเทศไทย),43/5 หมู่ที่ 2 ตำบลบ้านฉาง,เมืองปทุมธานี,02-5818521-7
บริษัท เอเลแกนซ์ ออโตโมบิล จำกัด,88/8 หมู่ที่ 2 ถนนกรุงเทพ-ปทุมธานี ตำบลบางหลวง,เมืองปทุมธานี,02-5813333
บริษัท พระนคร ยนตรการ จำกัด,88 หมู่ที่ 1 ตำบลคลองหนึ่ง,คลองหลวง,02-5163111
บริษัท ออโต้เทคนิค (ประเทศไทย),59/9 หมู่ที่ 12 ถนนบางนา-ตราด ตำบลบางปะกง,บางปะกง,038-532900-5
บริษัท รัตนหิรัญ ออโต้เซลส์ จำกัด,168 หมู่ 12 ตำบลพลับพลา,โชคชัย,"093-8795059,044-756696-7"
บริษัท ซีซีซีออโต้ จำกัด,779/13-16 ถนนชยางกูร ตำบลในเมือง,เมืองอุบลราชธานี,"085-6331414, 045-280888"
บริษัท อาร์.เอช. มอเตอร์สเซลส์,257/6 ถนนมิตรภาพ ตำบลในเมือง,เมืองขอนแก่น,043-241000
บริษัท อุดร ออโต้ ซิตี้ จำกัด,499 หมู่ที่ 3 ถนนรอบเมือง ตำบลหนองขอนกว้าง,เมืองอุดรธานี,042-292884-8
บริษัท เจริญมอเตอร์เบนซ์ จำกัด,3 ถนนรัตนโกสินทร์ ตำบลศรีภูมิ,เมืองเชียงใหม่,053-217652
บริษัท ชัยชนะมอเตอร์ (เชียงราย),111/6 หมู่ที่ 13 ตำบลสันทราย,เมืองเชียงราย,053-153999
บริษัท ทีวีแอล ออโต้,1351/2 หมู่ที่ 10 ถนนนครสวรรค์-พิษณุโลก,เมืองนครสวรรค์,"056-228124,089-5666406"
บริษัท มหาชัย ออโต้ บอดี้ เพ้นท์,32/8 หมู่ที่ 8 ตำบลท่าทราย,เมืองสมุทรสาคร,"034-410955,091-7989222"
บริษัท ทีวีแอล ออโต้,"89,89/1-2 หมู่ที่ 2 ตำบลวัดประดู่",เมืองสุราษฎร์ธานี,077-201301-4
บริษัท หาดใหญ่,151 หมู่ที่ 1 ถนนลพบุรีราเมศวร์ ตำบลคลองแห,หาดใหญ่,"074-427161-2,081- 5969561"
